subject,module,commit,generated_test,focal_method,nd_pass,nd_total,nd_verdict,id_runs,id_verdict,od_verdict,notes
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_14_0_Test#testGetWithOddNumberOfParams,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_14_0_Test#testGetWithoutEncoding,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_head_27_0_Test#testHeadMethod,com.github.kevinsawicki.http.HttpRequest#head,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_head_28_0_Test#testHeadMethod,com.github.kevinsawicki.http.HttpRequest#head,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_ifModifiedSince_116_0_Test#testIfModifiedSince,com.github.kevinsawicki.http.HttpRequest#ifModifiedSince,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_ifModifiedSince_116_0_Test#testIfModifiedSinceReturnsSelf,com.github.kevinsawicki.http.HttpRequest#ifModifiedSince,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_notModified_55_0_Test#testNotModifiedFalse,com.github.kevinsawicki.http.HttpRequest#notModified,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_notModified_55_0_Test#testNotModifiedThrowsException,com.github.kevinsawicki.http.HttpRequest#notModified,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_notModified_55_0_Test#testNotModifiedTrue,com.github.kevinsawicki.http.HttpRequest#notModified,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_options_31_0_Test#testOptionsMethod,com.github.kevinsawicki.http.HttpRequest#options,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_15_0_Test#testPostReflectiveConstructor,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_15_0_Test#testPostWithInvalidUrl,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_15_0_Test#testPostWithValidUrl,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_16_0_Test#testPost,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_16_0_Test#testPrivateConstructor,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_18_0_Test#testPostWithEncoding,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_18_0_Test#testPostWithNoParams,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_18_0_Test#testPostWithNullParams,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
