test_id,pass,fail,missing,total,verdict
tests/test_pregel.py::test_nested_graph_interrupts_parallel[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_nested_graph_interrupts_parallel[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_nested_graph_interrupts_parallel[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_pending_writes_resume[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_pending_writes_resume[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_pending_writes_resume[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true_interrupt[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true_interrupt[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_checkpoint_true_interrupt[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_subgraph_durability_inherited[async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_update_as_input[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_update_as_input[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_update_as_input[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_astream_waiter_cleanup_on_cancel,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_async_entrypoint_without_checkpointer,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_async_streaming_with_functional_api,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_many_processes_in_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_two_processes_in_out,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_batch_update_as_input[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_bulk_state_updates[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_bulk_state_updates[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_cancel_graph_astream[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_cancel_graph_astream[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_cancel_graph_astream_events_v2[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_cancel_graph_astream_events_v2[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_errors,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_metadata[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_metadata[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_put_after_cancellation,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_put_after_cancellation_stream_anext,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_put_after_cancellation_stream_events_anext,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpoint_recovery_async[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_checkpointer_null_pending_writes,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_command_goto_with_static_breakpoints[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_command_goto_with_static_breakpoints[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_command_with_static_breakpoints[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_command_with_static_breakpoints[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_concurrent_emit_sends,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_concurrent_execution,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_cond_edge_after_send,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_conditional_entrypoint_graph_state,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_configurable_propagates_to_stream_metadata,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_nested_subgraphs[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_retry[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_retry[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_debug_subgraphs[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_delta_channel_durability_exit_stores_snapshot_async,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_double_interrupt_subgraph[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_double_interrupt_subgraph[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[memory-exit],50,0,0,50,NOT_FLAKY
